t,h,v,a,Ep,Ek
0,43.9755,0.4905,9.81,9059.39,2.5262
0.05,43.9264,0.980754,9.80509,9049.29,10.0997
0.1,43.8529,1.47027,9.79036,9034.14,22.6979
0.15,43.755,1.95857,9.76587,9013.97,40.2778
0.2,43.6327,2.44515,9.73168,8988.78,62.777
0.25,43.4863,2.92955,9.68793,8958.6,90.1136
0.3,43.3157,3.41129,9.63478,8923.47,122.187
0.35,43.1212,3.88991,9.57241,8883.4,158.879
0.4,42.903,4.36496,9.50107,8838.44,200.055
0.45,42.6612,4.83601,9.421,8788.62,245.563
0.5,42.396,5.30264,9.33252,8734,295.238
0.55,42.1078,5.76443,9.23593,8674.63,348.901
0.6,41.7967,6.22101,9.13158,8610.55,406.36
0.65,41.4631,6.672,9.01986,8541.82,467.414
0.7,41.1073,7.11706,8.90114,8468.51,531.852
0.75,40.7295,7.55585,8.77584,8390.68,599.455
0.8,40.3301,7.98807,8.64439,8308.4,669.998
0.85,39.9094,8.41343,8.50723,8221.74,743.252
0.9,39.4678,8.83167,8.36479,8130.77,818.984
0.95,39.0057,9.24255,8.21753,8035.57,896.96
1,38.5234,9.64585,8.06591,7936.21,976.945
1.05,38.0214,10.0414,7.91039,7832.78,1058.7
1.1,37.4999,10.4289,7.75141,7725.36,1142.01
1.15,36.9595,10.8084,7.58943,7614.02,1226.63
1.2,36.4005,11.1797,7.42489,7498.87,1312.34
1.25,35.8234,11.5426,7.25823,7379.97,1398.92
1.3,35.2285,11.8971,7.08987,7257.43,1486.17
1.35,34.6164,12.2431,6.92023,7131.32,1573.87
1.4,33.9873,12.5806,6.74969,7001.73,1661.84
1.45,33.3419,12.9095,6.57865,6868.76,1749.88
1.5,32.6804,13.2299,6.40746,6732.48,1837.81
1.55,32.0033,13.5417,6.23649,6593,1925.46
1.6,31.311,13.845,6.06605,6450.39,2012.68
1.65,30.6041,14.1398,5.89646,6304.74,2099.31
1.7,29.8827,14.4262,5.72801,6156.14,2185.21
1.75,29.1475,14.7043,5.56098,6004.68,2270.26
1.8,28.3988,14.974,5.39561,5850.44,2354.33
1.85,27.637,15.2356,5.23214,5693.51,2437.31
1.9,26.8626,15.4892,5.07078,5533.96,2519.11
1.95,26.0758,15.7348,4.91174,5371.89,2599.62
2,25.2772,15.9725,4.75518,5207.36,2678.78
2.05,24.4671,16.2026,4.60127,5040.47,2756.5
2.1,23.6458,16.4251,4.45013,4871.28,2832.73
2.15,22.8138,16.6402,4.30191,4699.88,2907.41
2.2,21.9714,16.848,4.1567,4526.33,2980.49
2.25,21.119,17.0488,4.0146,4350.72,3051.93
2.3,20.2569,17.2425,3.87569,4173.12,3121.71
2.35,19.3854,17.4295,3.74002,3993.58,3189.79
2.4,18.5049,17.6099,3.60764,3812.19,3256.15
2.45,17.6157,17.7839,3.4786,3629.01,3320.79
2.5,16.7181,17.9515,3.35291,3444.1,3383.69
2.55,15.8125,18.113,3.2306,3257.53,3444.86
2.6,14.899,18.2686,3.11166,3069.35,3504.29
2.65,13.9781,18.4184,2.99609,2879.63,3562
2.7,13.05,18.5626,2.88389,2688.43,3617.99
2.75,12.1149,18.7014,2.77502,2495.79,3672.28
2.8,11.1732,18.8348,2.66945,2301.79,3724.89
2.85,10.225,18.9632,2.56716,2106.46,3775.83
2.9,9.27068,19.0866,2.46811,1909.85,3825.13
2.95,8.31042,19.2052,2.37224,1712.03,3872.82
3,7.34446,19.3192,2.27951,1513.03,3918.93
3.05,6.37303,19.4287,2.18987,1312.91,3963.47
3.1,5.39634,19.5338,2.10324,1111.7,4006.5
3.15,4.4146,19.6348,2.01959,909.451,4048.03
3.2,3.42801,19.7318,1.93884,706.204,4088.1
3.25,2.43677,19.8248,1.86092,501.999,4126.74
3.3,1.44106,19.9141,1.78578,296.873,4164
3.35,0.441074,19.9998,1.71333,90.8658,4199.9
3.4,0,20.0819,1.64352,0,4234.49
