t,body,x,y
60,Sun,3.24503e-05,0
60,Earth,1.496e+11,1.78733e+06
60,Moon,1.49984e+11,1.84843e+06
6060,Sun,0.331025,0.000133186
6060,Earth,1.496e+11,1.80521e+08
6060,Moon,1.49984e+11,1.86691e+08
12060,Sun,1.31102,0.00104982
12060,Earth,1.496e+11,3.59254e+08
12060,Moon,1.49984e+11,3.71532e+08
18060,Sun,2.94003,0.00352559
18060,Earth,1.49599e+11,5.37986e+08
18060,Moon,1.49983e+11,5.5637e+08
24060,Sun,5.21803,0.00833618
24060,Earth,1.49598e+11,7.16718e+08
24060,Moon,1.49982e+11,7.41202e+08
30060,Sun,8.14503,0.0162573
30060,Earth,1.49597e+11,8.95449e+08
30060,Moon,1.49981e+11,9.26026e+08
36060,Sun,11.721,0.0280646
36060,Earth,1.49596e+11,1.07418e+09
36060,Moon,1.49979e+11,1.11084e+09
42060,Sun,15.946,0.0445337
42060,Earth,1.49595e+11,1.25291e+09
42060,Moon,1.49977e+11,1.29565e+09
48060,Sun,20.82,0.0664403
48060,Earth,1.49593e+11,1.43163e+09
48060,Moon,1.49974e+11,1.48044e+09
54060,Sun,26.3429,0.0945602
54060,Earth,1.49591e+11,1.61036e+09
54060,Moon,1.49972e+11,1.66522e+09
60060,Sun,32.5148,0.129669
60060,Earth,1.49589e+11,1.78908e+09
60060,Moon,1.49969e+11,1.84998e+09
66060,Sun,39.3357,0.172542
66060,Earth,1.49587e+11,1.9678e+09
66060,Moon,1.49966e+11,2.03472e+09
72060,Sun,46.8055,0.223955
72060,Earth,1.49585e+11,2.14652e+09
72060,Moon,1.49962e+11,2.21945e+09
78060,Sun,54.9243,0.284684
78060,Earth,1.49582e+11,2.32523e+09
78060,Moon,1.49958e+11,2.40415e+09
84060,Sun,63.692,0.355504
84060,Earth,1.49579e+11,2.50395e+09
84060,Moon,1.49954e+11,2.58883e+09
90060,Sun,73.1086,0.437192
90060,Earth,1.49576e+11,2.68266e+09
90060,Moon,1.4995e+11,2.77348e+09
96060,Sun,83.1741,0.530521
96060,Earth,1.49573e+11,2.86136e+09
96060,Moon,1.49945e+11,2.95811e+09
102060,Sun,93.8885,0.636269
102060,Earth,1.49569e+11,3.04006e+09
102060,Moon,1.4994e+11,3.14271e+09
108060,Sun,105.252,0.75521
108060,Earth,1.49566e+11,3.21876e+09
108060,Moon,1.49934e+11,3.32727e+09
114060,Sun,117.264,0.888121
114060,Earth,1.49562e+11,3.39745e+09
114060,Moon,1.49929e+11,3.51181e+09
120060,Sun,129.925,1.03578
120060,Earth,1.49557e+11,3.57614e+09
120060,Moon,1.49923e+11,3.69631e+09
126060,Sun,143.235,1.19895
126060,Earth,1.49553e+11,3.75482e+09
126060,Moon,1.49916e+11,3.88078e+09
132060,Sun,157.193,1.37842
132060,Earth,1.49549e+11,3.9335e+09
132060,Moon,1.4991e+11,4.06521e+09
138060,Sun,171.8,1.57496
138060,Earth,1.49544e+11,4.11218e+09
138060,Moon,1.49903e+11,4.2496e+09
144060,Sun,187.057,1.78935
144060,Earth,1.49539e+11,4.29084e+09
144060,Moon,1.49896e+11,4.43394e+09
150060,Sun,202.961,2.02236
150060,Earth,1.49534e+11,4.46951e+09
150060,Moon,1.49888e+11,4.61825e+09
156060,Sun,219.515,2.27477
156060,Earth,1.49528e+11,4.64816e+09
156060,Moon,1.4988e+11,4.80251e+09
162060,Sun,236.717,2.54735
162060,Earth,1.49523e+11,4.82681e+09
162060,Moon,1.49872e+11,4.98673e+09
168060,Sun,254.568,2.84087
168060,Earth,1.49517e+11,5.00546e+09
168060,Moon,1.49864e+11,5.1709e+09
174060,Sun,273.068,3.15612
174060,Earth,1.49511e+11,5.18409e+09
174060,Moon,1.49855e+11,5.35502e+09
180060,Sun,292.216,3.49387
180060,Earth,1.49504e+11,5.36272e+09
180060,Moon,1.49846e+11,5.53909e+09
186060,Sun,312.013,3.85489
186060,Earth,1.49498e+11,5.54135e+09
186060,Moon,1.49837e+11,5.72311e+09
192060,Sun,332.458,4.23996
192060,Earth,1.49491e+11,5.71996e+09
192060,Moon,1.49827e+11,5.90707e+09
198060,Sun,353.552,4.64986
198060,Earth,1.49484e+11,5.89857e+09
198060,Moon,1.49817e+11,6.09098e+09
204060,Sun,375.294,5.08535
204060,Earth,1.49477e+11,6.07717e+09
204060,Moon,1.49807e+11,6.27483e+09
210060,Sun,397.685,5.54722
210060,Earth,1.4947e+11,6.25577e+09
210060,Moon,1.49796e+11,6.45862e+09
216060,Sun,420.724,6.03623
216060,Earth,1.49462e+11,6.43435e+09
216060,Moon,1.49785e+11,6.64235e+09
222060,Sun,444.412,6.55317
222060,Earth,1.49455e+11,6.61293e+09
222060,Moon,1.49774e+11,6.82602e+09
228060,Sun,468.748,7.09881
228060,Earth,1.49447e+11,6.79149e+09
228060,Moon,1.49763e+11,7.00962e+09
234060,Sun,493.732,7.67392
234060,Earth,1.49438e+11,6.97005e+09
234060,Moon,1.49751e+11,7.19316e+09
240060,Sun,519.365,8.27928
240060,Earth,1.4943e+11,7.1486e+09
240060,Moon,1.49739e+11,7.37663e+09
246060,Sun,545.646,8.91567
246060,Earth,1.49421e+11,7.32714e+09
246060,Moon,1.49727e+11,7.56004e+09
252060,Sun,572.575,9.58385
252060,Earth,1.49413e+11,7.50567e+09
252060,Moon,1.49714e+11,7.74337e+09
258060,Sun,600.153,10.2846
258060,Earth,1.49404e+11,7.68419e+09
258060,Moon,1.49702e+11,7.92664e+09
264060,Sun,628.378,11.0187
264060,Earth,1.49394e+11,7.8627e+09
264060,Moon,1.49688e+11,8.10983e+09
270060,Sun,657.252,11.7869
270060,Earth,1.49385e+11,8.04119e+09
270060,Moon,1.49675e+11,8.29295e+09
276060,Sun,686.773,12.5901
276060,Earth,1.49375e+11,8.21968e+09
276060,Moon,1.49661e+11,8.47599e+09
282060,Sun,716.943,13.4289
